from,to,delta_i,delta_tau,Ijk,Il,Iu
76,136,0.3620671,0.3228629,74.49727,74.49727,90.0
147,155,0.8574254,0.4223443,64.66093,64.66093,90.0
147,148,0.9860619,0.439607,62.38962,62.38962,90.0
147,157,1.394596,0.4711423,64.89729,64.89729,90.0
136,158,0.3033754,0.3917794,37.25791,37.25791,90.0
149,151,1.24337,0.4437993,53.20456,53.20456,90.0
151,159,1.046369,0.4135495,72.67693,72.67693,90.0
149,159,1.285502,0.4388225,59.68189,59.68189,90.0
156,160,0.8157013,0.4851534,24.59856,24.59856,90.0
156,161,3.602937,0.5572931,68.9161,68.9161,90.0
148,150,0.6368438,0.3090952,73.04526,73.04526,90.0
137,161,2.355788,0.5458045,46.47047,46.47047,90.0
154,162,2.725816,0.5350229,58.61264,58.61264,90.0
145,150,1.918964,0.5060764,60.56221,60.56221,90.0
150,157,1.896044,0.4684669,82.20642,82.20642,90.0
150,163,2.960206,0.5193879,58.92903,58.92903,90.0
159,164,0.6943809,0.3949367,63.2122,63.2122,90.0
145,165,0.6179422,0.33494,67.09124,67.09124,90.0
141,166,3.06357,0.5300509,82.99202,82.99202,90.0
141,167,6.284591,0.6446009,68.10892,68.10892,90.0
153,168,0.4457226,0.3591757,54.23609,54.23609,90.0
164,165,2.562794,0.4460976,78.38785,78.38785,90.0
165,169,1.914595,0.4746022,81.26129,81.26129,90.0
164,170,2.004834,0.5111546,53.07962,53.07962,90.0
157,160,0.6946522,0.4040552,64.99419,64.99419,90.0
166,168,1.495585,0.5847275,24.73748,24.73748,90.0
168,171,1.032767,0.5474994,19.79774,19.79774,90.0
168,172,3.030723,0.5802457,67.06698,67.06698,90.0
160,173,0.286429,0.3119653,42.46808,42.46808,90.0
173,174,0.8939882,0.452325,60.74382,60.74382,90.0
173,175,1.392289,0.4388861,74.86624,74.86624,90.0
161,174,1.060075,0.439044,53.93803,53.93803,90.0
174,176,0.8913019,0.4759398,38.7005,38.7005,90.0
169,170,0.3953967,0.2949708,59.86662,59.86662,90.0
163,169,1.607521,0.4272683,73.59719,73.59719,90.0
170,177,2.178207,0.5049591,52.35845,52.35845,90.0
166,178,0.0,0.4841629,90.08017,90.08017,90.08017
163,175,2.830554,0.5302904,58.12738,58.12738,90.0
163,179,2.055816,0.484293,68.05374,68.05374,90.0
161,180,1.659815,0.4652724,54.12986,54.12986,90.0
162,172,1.604885,0.4687925,67.76822,67.76822,90.0
